Control ID,ITGC Area,Control Name,Control Objective,Current State,Test Result,Risk Level,Expected Evidence,Recommended Action
SOX-001,Access Management,New User Provisioning,Ensure new users receive approved access based on job responsibilities,Access requests require manager approval and role assignment,Pass,Low,Access request form manager approval and provisioning record,Continue retaining approval and provisioning evidence
SOX-002,Access Management,Terminated User Removal,Ensure terminated users lose access promptly,Termination access removal occurs but some disablement evidence is delayed,Partial,High,Termination notice account disablement log and timestamp,Automate offboarding and review termination-to-disablement timing
SOX-003,Access Management,Quarterly User Access Review,Ensure user access remains appropriate over time,Access reviews are performed but approval evidence is incomplete,Fail,High,Quarterly access review report reviewer approval and remediation evidence,Perform complete quarterly reviews and retain approval evidence
SOX-004,Access Management,Privileged Access Review,Ensure administrator access is limited approved and reviewed,Privileged accounts exist but recurring review evidence is incomplete,Fail,High,Privileged account inventory business justification and reviewer approval,Perform quarterly privileged-access reviews and remove unnecessary permissions
SOX-005,Access Management,Segregation of Duties,Reduce conflicting access that could affect financial systems,Some incompatible permissions are not consistently reviewed,Partial,High,SoD matrix conflict report and remediation records,Perform recurring segregation-of-duties reviews and resolve conflicts
SOX-006,Change Management,Change Request Approval,Ensure production changes are formally approved before implementation,Changes require documented approval before release,Pass,Low,Change ticket approval record and implementation date,Continue enforcing approval before production deployment
SOX-007,Change Management,Change Testing Evidence,Ensure system changes are tested before production deployment,Testing occurs but evidence is not consistently attached to change records,Partial,Medium,Test results screenshots and change ticket documentation,Require testing evidence before production approval
SOX-008,Change Management,Production Deployment Approval,Ensure production deployments receive authorized approval,Production deployment approval is documented,Pass,Low,Deployment approval and release record,Continue retaining deployment approval evidence
SOX-009,Change Management,Emergency Change Review,Ensure emergency changes are reviewed after implementation,Emergency changes are documented but post-implementation reviews are inconsistent,Partial,Medium,Emergency change ticket and retrospective approval,Require post-implementation review for all emergency changes
SOX-010,IT Operations,Backup Operations,Ensure critical systems and financial data are backed up,Backup jobs run regularly and failures are monitored,Pass,Low,Backup logs monitoring records and backup policy,Continue monitoring backup job success
SOX-011,IT Operations,Backup Restoration Testing,Ensure backups can be successfully restored,Backups exist but restoration tests are not performed consistently,Fail,Medium,Restore test report recovery logs and test results,Perform quarterly restoration testing and document results
SOX-012,IT Operations,Security Logging,Ensure system activity is logged and available for review,Centralized logging is enabled for critical systems,Pass,Low,SIEM screenshots log source inventory and retention settings,Continue monitoring critical log sources
SOX-013,IT Operations,Job Monitoring,Ensure scheduled financial and system jobs complete successfully,Scheduled jobs are monitored but exception documentation is inconsistent,Partial,Medium,Job monitoring logs exception tickets and resolution records,Document failed jobs and remediation actions
SOX-014,IT Operations,Incident Escalation,Ensure operational incidents affecting financial systems are escalated appropriately,Incident escalation procedures exist and are generally followed,Pass,Low,Incident ticket escalation record and resolution documentation,Continue documenting escalation and resolution activity
SOX-015,Governance,Control Ownership,Ensure each key ITGC control has an accountable owner,Most controls have owners but some ownership records are incomplete,Partial,Medium,Control inventory owner assignment and review records,Assign a documented owner to every key ITGC control
